,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result
0,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
1,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
2,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
3,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
4,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
5,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
6,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
7,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
8,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
9,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
10,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
11,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
12,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
13,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
14,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
15,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
16,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
17,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
18,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
19,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
20,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
21,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
22,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
23,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
24,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
25,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
26,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
27,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
28,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
29,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
30,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
31,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
32,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
33,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
34,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
35,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
36,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
37,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
38,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
39,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
40,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
41,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
42,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
43,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
44,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
45,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
46,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
47,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
